training_date,training_type,attendance,throwing_hours,,,,match_date,opponent_level,minutes_played,errors_total,errors_drop,errors_throw,errors_miscom
9/26/2025,fundamental,1,1,,,,10/25/2025,medium,26,3,1,1,1
9/29/2025,fundamental,1,3,,,,10/25/2025,low,7,1,0,1,0
10/1/2025,fundamental,1,2,,,,10/25/2025,low,19,2,0,1,1
10/3/2025,fundamental,1,2,,,,10/26/2025,high,15,0,0,0,0
10/6/2025,fundamental,1,2,,,,10/26/2025,high,15,0,0,0,0
10/8/2025,fundamental,1,1,,,,10/26/2025,medium,19,1,0,1,0
10/10/2025,fundamental,1,1,,,,11/8/2025,low,31,1,0,1,0
10/13/2025,fundamental,1,3,,,,11/8/2025,low,16,1,0,1,0
10/15/2025,fundamental,1,2,,,,11/8/2025,medium,23,2,0,1,1
10/17/2025,fundamental,1,2,,,,11/9/2025,medium,22,2,0,2,0
10/20/2025,fundamental,1,1,,,,11/9/2025,high,35,5,1,3,1
10/22/2025,fundamental,1,3,,,,11/9/2025,high,28,4,1,2,1
10/29/2025,fundamental,1,2,,,,11/29/2025,low,15,1,0,1,0
10/31/2025,fundamental,1,5,,,,11/29/2025,low,12,1,0,1,0
11/3/2025,fundamental,1,1,,,,11/30/2025,high,18,3,0,3,0
11/5/2025,fundamental,1,2,,,,11/30/2025,low,17,4,0,3,1
11/12/2025,fundamental,1,3,,,,11/30/2025,high,25,5,1,3,1
11/14/2025,fundamental,1,0,,,,,,,,,,
11/17/2025,fundamental,1,1,,,,,,,,,,
11/19/2025,fundamental,1,0,,,,,,,,,,
11/21/2025,fundamental,1,1,,,,,,,,,,
11/24/2025,fundamental,1,2,,,,,,,,,,
11/26/2025,fundamental,1,2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
